sName,sSymbol,eligble voters,voters,droped,valid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,district,subdistrict,Natural area,Municipal status,Metropolitan affiliation,religion,Total Population 2018,Jews and others,Thereof: Jews,Arabs,Founding year,Current type of locality,Organizational affiliation,Coordinates,height,Planning Commission,Police space,year,Cluster Local Authorities
Shahar,7,517,377,0,377,0,44,0,0,0,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,128,0,0,0,98,39,8,0,3,0,0,0,6,61,612.0,50.0,0.0,1.0,875.0,875.0,866.0,0.0,1955,310,1.0,1739861424.0,83.0,634.0,10001813.0,2018,0.0
Tirosh,10,332,245,0,245,0,2,0,0,0,11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,6,104,4,0,4,0,0,0,1,11,112.0,26.0,0.0,1.0,501.0,501.0,500.0,0.0,1955,310,2.0,1892862872.0,130.0,151.0,15000597.0,2018,0.0
Nir Hen,11,406,287,0,287,0,37,0,0,0,13,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,57,0,0,0,94,4,1,0,5,0,0,0,6,61,612.0,50.0,0.0,1.0,552.0,552.0,536.0,0.0,1955,310,1.0,1729761304.0,91.0,634.0,10001813.0,2018,0.0
Hazeva,13,502,373,0,373,0,56,0,0,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,25,0,0,0,216,1,2,0,4,0,0,0,6,62,625.0,54.0,0.0,1.0,605.0,595.0,561.0,10.0,1965,310,1.0,2266751974.0,-160.0,657.0,10001918.0,2018,610.0
No'am,15,308,228,1,227,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,158,0,0,0,13,36,4,0,4,0,0,0,6,61,612.0,34.0,0.0,1.0,349.0,349.0,346.0,0.0,1955,310,2.0,1799960850.0,148.0,631.0,10001813.0,2018,0.0
Bet Nir,16,437,347,0,347,0,167,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,10,0,0,0,153,1,0,0,1,0,0,0,6,61,612.0,35.0,0.0,1.0,612.0,612.0,599.0,0.0,1955,330,15.0,1880461729.0,230.0,632.0,10001813.0,2018,420.0
Sede Moshe,18,397,305,2,303,0,30,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,78,0,0,0,151,2,0,0,2,0,0,0,6,61,612.0,50.0,0.0,1.0,774.0,773.0,756.0,1.0,1956,310,1.0,1812461328.0,120.0,634.0,10001813.0,2018,0.0
Be'er Ora,21,574,418,1,417,0,69,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,33,0,2,0,0,0,104,0,0,0,179,4,4,0,4,0,0,0,6,62,625.0,53.0,0.0,1.0,965.0,937.0,866.0,28.0,1950,370,19.0,1983840251.0,99.0,608.0,10001955.0,2018,0.0
Miqwe Yisra'el,22,150,95,0,95,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,25,0,0,0,45,1,0,0,0,0,0,0,5,53,513.0,0.0,123.0,1.0,386.0,383.0,359.0,3.0,1870,340,0.0,1794865963.0,20.0,599.0,10001430.0,2018,0.0
Amazya,23,195,143,0,143,0,7,0,0,0,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,29,2,2,0,9,0,0,0,6,61,612.0,50.0,0.0,1.0,353.0,349.0,346.0,4.0,1955,320,9.0,1918460450.0,330.0,634.0,10001813.0,2018,0.0
Lakhish,24,562,465,2,463,0,135,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,29,0,0,0,264,1,0,0,3,0,0,0,6,61,612.0,50.0,0.0,1.0,743.0,743.0,739.0,0.0,1955,310,1.0,1850660773.0,219.0,634.0,10001813.0,2018,0.0
